REF_DATE,GEO,DGUID,Age group,Sex,Income source,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2017,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107678856,11.1.1.1.3,49569,A,,,0
2018,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107678856,11.1.1.1.3,49039,A,,,0
2019,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107678856,11.1.1.1.3,48183,A,,,0
2020,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107678856,11.1.1.1.3,50696,A,,,0
2021,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107678856,11.1.1.1.3,49969,A,,,0
2022,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107678856,11.1.1.1.3,51441,A,,,0
2023,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107678856,11.1.1.1.3,52245,A,,,0
2000,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107678857,11.1.1.1.4,42100,A,,,0
2001,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107678857,11.1.1.1.4,44100,A,,,0
2002,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107678857,11.1.1.1.4,43700,A,,,0
2003,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107678857,11.1.1.1.4,44000,A,,,0
2004,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107678857,11.1.1.1.4,43800,A,,,0
2005,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107678857,11.1.1.1.4,45600,A,,,0
2006,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107678857,11.1.1.1.4,48700,A,,,0
2007,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107678857,11.1.1.1.4,51700,B,,,0
2008,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107678857,11.1.1.1.4,53100,A,,,0
2009,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107678857,11.1.1.1.4,55000,A,,,0
2010,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107678857,11.1.1.1.4,54700,A,,,0
2011,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107678857,11.1.1.1.4,57100,A,,,0
2012,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107678857,11.1.1.1.4,57400,A,,,0
2013,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107678857,11.1.1.1.4,58600,A,,,0
2014,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107678857,11.1.1.1.4,61200,B,,,0
2015,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107678857,11.1.1.1.4,60100,A,,,0
2016,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107678857,11.1.1.1.4,57900,A,,,0
2017,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107678857,11.1.1.1.4,59200,A,,,0
2018,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107678857,11.1.1.1.4,57300,A,,,0
2019,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107678857,11.1.1.1.4,56200,A,,,0
2020,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107678857,11.1.1.1.4,58800,A,,,0
2021,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107678857,11.1.1.1.4,57800,A,,,0
2022,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107678857,11.1.1.1.4,57900,A,,,0
2023,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107678857,11.1.1.1.4,57600,A,,,0
2000,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107678858,11.1.1.1.5,32100,A,,,0
2001,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107678858,11.1.1.1.5,34500,A,,,0
2002,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107678858,11.1.1.1.5,34000,B,,,0
2003,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107678858,11.1.1.1.5,34200,A,,,0
2004,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107678858,11.1.1.1.5,33900,A,,,0
2005,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107678858,11.1.1.1.5,34100,B,,,0
2006,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107678858,11.1.1.1.5,36300,A,,,0
2007,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107678858,11.1.1.1.5,37500,A,,,0
2008,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107678858,11.1.1.1.5,41200,A,,,0
2009,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107678858,11.1.1.1.5,41900,A,,,0
2010,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107678858,11.1.1.1.5,42000,A,,,0
2011,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107678858,11.1.1.1.5,43600,B,,,0
2012,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107678858,11.1.1.1.5,44500,A,,,0
2013,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107678858,11.1.1.1.5,45200,A,,,0
2014,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107678858,11.1.1.1.5,47000,A,,,0
2015,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107678858,11.1.1.1.5,47300,A,,,0
2016,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107678858,11.1.1.1.5,46200,A,,,0
2017,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107678858,11.1.1.1.5,45900,A,,,0
2018,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107678858,11.1.1.1.5,45200,A,,,0
2019,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107678858,11.1.1.1.5,45300,A,,,0
2020,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107678858,11.1.1.1.5,46500,A,,,0
2021,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107678858,11.1.1.1.5,46800,A,,,0
2022,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107678858,11.1.1.1.5,45600,A,,,0
2023,Saskatchewan,2021A000247,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107678858,11.1.1.1.5,45400,A,,,0
2000,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107671654,7.1.1.1.1,5829,A,,,0
2001,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107671654,7.1.1.1.1,5879,A,,,0
2002,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107671654,7.1.1.1.1,5920,A,,,0
2003,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107671654,7.1.1.1.1,5985,A,,,0
2004,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107671654,7.1.1.1.1,6052,A,,,0
2005,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107671654,7.1.1.1.1,6101,A,,,0
2006,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107671654,7.1.1.1.1,6152,A,,,0
2007,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107671654,7.1.1.1.1,6233,A,,,0
2008,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107671654,7.1.1.1.1,6326,A,,,0
2009,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107671654,7.1.1.1.1,6414,A,,,0
2010,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107671654,7.1.1.1.1,6501,A,,,0
2011,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107671654,7.1.1.1.1,6572,A,,,0
2012,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107671654,7.1.1.1.1,6579,A,,,0
2013,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107671654,7.1.1.1.1,6648,A,,,0
2014,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107671654,7.1.1.1.1,6635,E,,,0
2015,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107671654,7.1.1.1.1,6658,A,,,0
2016,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107671654,7.1.1.1.1,6700,A,,,0
2017,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107671654,7.1.1.1.1,6798,A,,,0
2018,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107671654,7.1.1.1.1,6879,A,,,0
2019,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107671654,7.1.1.1.1,6937,A,,,0
2020,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107671654,7.1.1.1.1,6968,A,,,0
2021,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107671654,7.1.1.1.1,7036,A,,,0
2022,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107671654,7.1.1.1.1,7205,A,,,0
2023,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107671654,7.1.1.1.1,7343,A,,,0
2000,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107671655,7.1.1.1.2,5585,A,,,0
2001,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107671655,7.1.1.1.2,5647,A,,,0
2002,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107671655,7.1.1.1.2,5735,A,,,0
2003,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107671655,7.1.1.1.2,5793,A,,,0
2004,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107671655,7.1.1.1.2,5848,A,,,0
2005,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107671655,7.1.1.1.2,5940,A,,,0
2006,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107671655,7.1.1.1.2,5972,A,,,0
2007,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107671655,7.1.1.1.2,6056,A,,,0
2008,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107671655,7.1.1.1.2,6178,A,,,0
2009,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107671655,7.1.1.1.2,6243,A,,,0
2010,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107671655,7.1.1.1.2,6310,A,,,0
2011,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107671655,7.1.1.1.2,6399,A,,,0
2012,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107671655,7.1.1.1.2,6436,A,,,0
2013,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107671655,7.1.1.1.2,6470,A,,,0
2014,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107671655,7.1.1.1.2,6545,E,,,0
2015,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107671655,7.1.1.1.2,6539,A,,,0
2016,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107671655,7.1.1.1.2,6581,A,,,0
2017,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107671655,7.1.1.1.2,6666,A,,,0
2018,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107671655,7.1.1.1.2,6776,A,,,0
2019,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107671655,7.1.1.1.2,6817,A,,,0
2020,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107671655,7.1.1.1.2,6909,A,,,0
2021,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107671655,7.1.1.1.2,6976,A,,,0
2022,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107671655,7.1.1.1.2,7085,A,,,0
2023,Quebec,2021A000224,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107671655,7.1.1.1.2,7202,A,,,0
2000,Quebec,2021A000224,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107671656,7.1.1.1.3,246534,A,,,0
2001,Quebec,2021A000224,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107671656,7.1.1.1.3,254262,A,,,0
2002,Quebec,2021A000224,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107671656,7.1.1.1.3,260380,A,,,0
2003,Quebec,2021A000224,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107671656,7.1.1.1.3,261386,A,,,0
2004,Quebec,2021A000224,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107671656,7.1.1.1.3,270611,A,,,0
2005,Quebec,2021A000224,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107671656,7.1.1.1.3,270028,A,,,0
2006,Quebec,2021A000224,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107671656,7.1.1.1.3,276544,A,,,0
2007,Quebec,2021A000224,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107671656,7.1.1.1.3,285272,A,,,0
2008,Quebec,2021A000224,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107671656,7.1.1.1.3,286158,A,,,0
2009,Quebec,2021A000224,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107671656,7.1.1.1.3,293204,A,,,0
2010,Quebec,2021A000224,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107671656,7.1.1.1.3,296478,A,,,0
2011,Quebec,2021A000224,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107671656,7.1.1.1.3,307884,A,,,0
2012,Quebec,2021A000224,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107671656,7.1.1.1.3,314791,A,,,0
2013,Quebec,2021A000224,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107671656,7.1.1.1.3,318471,A,,,0
2014,Quebec,2021A000224,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107671656,7.1.1.1.3,324541,E,,,0
2015,Quebec,2021A000224,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107671656,7.1.1.1.3,320410,A,,,0
2016,Quebec,2021A000224,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107671656,7.1.1.1.3,333901,A,,,0
2017,Quebec,2021A000224,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107671656,7.1.1.1.3,340191,A,,,0
2018,Quebec,2021A000224,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107671656,7.1.1.1.3,349974,A,,,0
2019,Quebec,2021A000224,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107671656,7.1.1.1.3,362411,A,,,0
2020,Quebec,2021A000224,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107671656,7.1.1.1.3,383652,A,,,0
2021,Quebec,2021A000224,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107671656,7.1.1.1.3,396007,A,,,0
2022,Quebec,2021A000224,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107671656,7.1.1.1.3,402688,A,,,0
2023,Quebec,2021A000224,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107671656,7.1.1.1.3,405826,A,,,0
2000,Quebec,2021A000224,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107671657,7.1.1.1.4,44100,A,,,0
2001,Quebec,2021A000224,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107671657,7.1.1.1.4,45000,A,,,0
2002,Quebec,2021A000224,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107671657,7.1.1.1.4,45400,A,,,0
2003,Quebec,2021A000224,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107671657,7.1.1.1.4,45100,A,,,0
2004,Quebec,2021A000224,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107671657,7.1.1.1.4,46300,A,,,0
2005,Quebec,2021A000224,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107671657,7.1.1.1.4,45500,A,,,0
2006,Quebec,2021A000224,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107671657,7.1.1.1.4,46300,A,,,0
2007,Quebec,2021A000224,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107671657,7.1.1.1.4,47100,A,,,0
2008,Quebec,2021A000224,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107671657,7.1.1.1.4,46300,A,,,0
2009,Quebec,2021A000224,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107671657,7.1.1.1.4,47000,A,,,0
2010,Quebec,2021A000224,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107671657,7.1.1.1.4,47000,A,,,0
2011,Quebec,2021A000224,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107671657,7.1.1.1.4,48100,A,,,0
2012,Quebec,2021A000224,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107671657,7.1.1.1.4,48900,A,,,0
2013,Quebec,2021A000224,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107671657,7.1.1.1.4,49200,A,,,0
2014,Quebec,2021A000224,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107671657,7.1.1.1.4,49600,A,,,0
2015,Quebec,2021A000224,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107671657,7.1.1.1.4,49000,A,,,0
2016,Quebec,2021A000224,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107671657,7.1.1.1.4,50700,A,,,0
2017,Quebec,2021A000224,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107671657,7.1.1.1.4,51000,A,,,0
2018,Quebec,2021A000224,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107671657,7.1.1.1.4,51600,A,,,0
2019,Quebec,2021A000224,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107671657,7.1.1.1.4,53200,A,,,0
2020,Quebec,2021A000224,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107671657,7.1.1.1.4,55500,A,,,0
2021,Quebec,2021A000224,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107671657,7.1.1.1.4,56800,A,,,0
2022,Quebec,2021A000224,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107671657,7.1.1.1.4,56800,A,,,0
2023,Quebec,2021A000224,15 years and over,Both sexes,Total income,Average income (excluding zeros),2023 constant dollars,449,units,0,v107671657,7.1.1.1.4,56300,A,,,0
2000,Quebec,2021A000224,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107671658,7.1.1.1.5,33100,A,,,0
2001,Quebec,2021A000224,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107671658,7.1.1.1.5,33800,A,,,0
2002,Quebec,2021A000224,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107671658,7.1.1.1.5,34600,A,,,0
2003,Quebec,2021A000224,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107671658,7.1.1.1.5,34400,A,,,0
2004,Quebec,2021A000224,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107671658,7.1.1.1.5,35300,A,,,0
2005,Quebec,2021A000224,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107671658,7.1.1.1.5,35200,A,,,0
2006,Quebec,2021A000224,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107671658,7.1.1.1.5,35500,A,,,0
2007,Quebec,2021A000224,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107671658,7.1.1.1.5,36300,A,,,0
2008,Quebec,2021A000224,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107671658,7.1.1.1.5,35600,A,,,0
2009,Quebec,2021A000224,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107671658,7.1.1.1.5,36800,A,,,0
2010,Quebec,2021A000224,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107671658,7.1.1.1.5,36700,A,,,0
2011,Quebec,2021A000224,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107671658,7.1.1.1.5,36700,A,,,0
2012,Quebec,2021A000224,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107671658,7.1.1.1.5,38000,A,,,0
2013,Quebec,2021A000224,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107671658,7.1.1.1.5,39300,A,,,0
2014,Quebec,2021A000224,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107671658,7.1.1.1.5,39600,A,,,0
2015,Quebec,2021A000224,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107671658,7.1.1.1.5,39100,A,,,0
2016,Quebec,2021A000224,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107671658,7.1.1.1.5,40000,A,,,0
2017,Quebec,2021A000224,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107671658,7.1.1.1.5,40600,A,,,0
2018,Quebec,2021A000224,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107671658,7.1.1.1.5,40900,A,,,0
2019,Quebec,2021A000224,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107671658,7.1.1.1.5,42400,A,,,0
2020,Quebec,2021A000224,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107671658,7.1.1.1.5,45000,A,,,0
2021,Quebec,2021A000224,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107671658,7.1.1.1.5,46000,A,,,0
2022,Quebec,2021A000224,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107671658,7.1.1.1.5,45600,A,,,0
2023,Quebec,2021A000224,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107671658,7.1.1.1.5,45300,A,,,0
2000,Prince Edward Island,2021A000211,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107666254,4.1.1.1.1,105,A,,,0
2001,Prince Edward Island,2021A000211,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107666254,4.1.1.1.1,106,A,,,0
2002,Prince Edward Island,2021A000211,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107666254,4.1.1.1.1,107,A,,,0
