REF_DATE,GEO,DGUID,Age group,Sex,Income source,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107680655,12.1.1.1.2,3348,A,,,0
2020,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107680655,12.1.1.1.2,3403,A,,,0
2021,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107680655,12.1.1.1.2,3439,A,,,0
2022,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107680655,12.1.1.1.2,3520,A,,,0
2023,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107680655,12.1.1.1.2,3697,A,,,0
2000,Alberta,2021A000248,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107680656,12.1.1.1.3,113369,A,,,0
2001,Alberta,2021A000248,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107680656,12.1.1.1.3,121402,A,,,0
2002,Alberta,2021A000248,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107680656,12.1.1.1.3,121929,A,,,0
2003,Alberta,2021A000248,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107680656,12.1.1.1.3,125684,A,,,0
2004,Alberta,2021A000248,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107680656,12.1.1.1.3,132611,A,,,0
2005,Alberta,2021A000248,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107680656,12.1.1.1.3,142172,A,,,0
2006,Alberta,2021A000248,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107680656,12.1.1.1.3,158899,A,,,0
2007,Alberta,2021A000248,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107680656,12.1.1.1.3,170886,A,,,0
2008,Alberta,2021A000248,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107680656,12.1.1.1.3,177613,A,,,0
2009,Alberta,2021A000248,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107680656,12.1.1.1.3,178985,A,,,0
2010,Alberta,2021A000248,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107680656,12.1.1.1.3,183226,A,,,0
2011,Alberta,2021A000248,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107680656,12.1.1.1.3,192565,A,,,0
2012,Alberta,2021A000248,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107680656,12.1.1.1.3,206860,A,,,0
2013,Alberta,2021A000248,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107680656,12.1.1.1.3,211574,A,,,0
2014,Alberta,2021A000248,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107680656,12.1.1.1.3,221234,A,,,0
2015,Alberta,2021A000248,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107680656,12.1.1.1.3,226254,A,,,0
2016,Alberta,2021A000248,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107680656,12.1.1.1.3,204701,A,,,0
2017,Alberta,2021A000248,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107680656,12.1.1.1.3,215562,A,,,0
2018,Alberta,2021A000248,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107680656,12.1.1.1.3,216402,A,,,0
2019,Alberta,2021A000248,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107680656,12.1.1.1.3,217940,A,,,0
2020,Alberta,2021A000248,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107680656,12.1.1.1.3,218938,A,,,0
2021,Alberta,2021A000248,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107680656,12.1.1.1.3,225157,A,,,0
2022,Alberta,2021A000248,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107680656,12.1.1.1.3,224885,A,,,0
